Timestamp,Terreno,Duracion(s)
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
